,description,slug,published,title,category,featured,image_front,category_title,occasion,recipient,tone,keywords
1,"The gift that always gets it right! <br>
Thyaga's multi-store gift voucher gives your loved ones the freedom to choose what they want, when they want it. One voucher, endless possibilities for every occasion.",multi-store,1,Multi-Store Gift Card,General,0,https://thyaga0323.sirv.com/Images/voucher-products/multi-store-front.png,One voucher. Any occasion. All the freedom they'll love.,general,anyone,general,"general, any occasion"
2,"<p>Get ready to sprinkle some birthday magic!<br>
Birthdays are all about love, laughter, and making wishes come true. With a Thyaga Voucher you're not just giving a gift - you're giving them the power to pick their own special surprise!<br>
Add a dash of personal touch with a heartfelt message before you send it off. </p>
",birthday-frog,1,Birthday Gift Card,Birthday,0,https://thyaga0323.sirv.com/Images/voucher-products/birthday/05-front.png,"Birthdays made better with gifts they actually want, finally.",Birthday,anyone,"funny, upbeat","birthday, bday, funny, for anyone, friend"
4,"<p>Saying goodbye is never easy, but with Thyaga Voucher, you can make it memorable! </br>
Explore our farewell collection and give the gift of choice to your departing colleague or friend. 
From heartfelt messages to customise themes, our vouchers offer the perfect way to send them off with love and appreciation. Browse now and make their farewell truly special!</p>",farewell,1,Farewell Gift Card,Farewell,0,https://thyaga0323.sirv.com/Images/voucher-products/farewell/01-front.png,"Parting is sweet, especially with a thoughtful Thyaga voucher.",farewell,"colleague, friend, co worker","funny, warm, sentimental","farewell, goodbye, leaving, departure, colleague, going away, co worker"
6,"<p>Get ready to celebrate love in style! Weddings are all about magical moments, shared dreams, and endless joy. <br>
With a customised Thyaga Voucher, you're offering the newlyweds the freedom to curate their perfect start to forever! Add your personal touch with a heartfelt message before sending it their way. 
Let the wedding festivities begin and the love story unfold!
</p>",wedding-couple-cream,1,Wedding Gift Card,Weddings,0,https://thyaga0323.sirv.com/Images/voucher-products/wedding/01-front.png,Celebrate their forever with a gift that keeps giving.,wedding,"couple, newlyweds","warm, romantic","wedding, marriage, newlyweds, love, couple, celebration"
10,"<p>Moving up the academic ladder deserves special praise from loved ones, and we've got just the
gift for the occasion! <br>
Celebrate their hard work and commitment - by letting them shop for everything they've
secretly wanted for a while! From novelty books to collectibles and fashion, nothing screams
I'm Proud Of You"" more than a gift that shows how much you care about them.</p>""",graduation,1,Graduation Gift Card,Congratulations,0,https://thyaga0323.sirv.com/Images/voucher-products/graduation/03-front.png,"Whether it's a win or milestone, celebrate in style.",graduation,"student, graduate, friend, sibling",funny,"graduation, academic, achievement, milestone, proud, exam"
59,"<p>Thyaga multi-store gift voucher is the perfect gift for any occasion!</p>
Give your loved ones the gift of choice where they can use this Thyaga voucher to shop at over 130 merchants!",mothers-day-queen-bee,1,"Happy Mother's Day, Queen Bee!",Mother's Day,0,https://thyaga0323.sirv.com/Images/voucher-products/mothers-day/md-1-front.png,\0,Mother's Day,"mom, mother",warm,"mother's day, mom, queen, appreciation, mum"
60,"<p>Thyaga multi-store gift voucher is the perfect gift for any occasion!</p>
Give your loved ones the gift of choice where they can use this Thyaga voucher to shop at over 130 merchants!",mothers-day-blue,1,Mother's Day Gift Card,Mother's Day,0,https://thyaga0323.sirv.com/Images/voucher-products/mothers-day/md-2-front.png,\0,Mother's Day,"mom, mother",warm,"mother's day, mom, queen, appreciation, mum"
68,"<p>Express your gratitude with Thyaga Voucher! Saying thank you has never been easier with the gift of choice. </br>
Whether it's for a kind gesture, a helping hand, or simply being there, our vouchers offer a world of possibilities to show your appreciation. 
Let them choose their own reward, from indulgent treats to unforgettable experiences. With Thyaga Voucher, you can say thank you in the most meaningful way possible. </p>

",thank-you-01,1,Thank You Gift Card,Thank you,0,https://thyaga0323.sirv.com/Images/voucher-products/thank-you/01-front.png,"A small card that says big, heartfelt thanks, stylishly.",thank you,anyone,"warm, sincere","thank you, gratitude, appreciation, grateful, thankful"
84,"<p> Get ready to celebrate in style with Thyaga Voucher's ""Congratulations"" gift voucher! <br>
Whether they aced that exam, nailed that presentation, or reached a major milestone, this card is the perfect way to say congratulations! <br> 
Let them choose their own reward from our fantastic selection, ensuring their success is celebrated with a touch of fun and flair. 
Here's to cheering on their achievements and spreading the joy together!
</p>",congrats-01,1,Congratulations Gift Card,Congratulations,0,https://thyaga0323.sirv.com/Images/voucher-products/congratulations/front-02.png,"Whether it's a win or milestone, celebrate in style.",congratulations,anyone,"fun, upbeat","congratulations, achievement, milestone, success, well done"
87,"<p>Get ready to sprinkle some birthday magic!<br>
Birthdays are all about love, laughter, and making wishes come true. With a Thyaga Voucher you're not just giving a gift - you're giving them the power to pick their own special surprise!<br>
Add a dash of personal touch with a heartfelt message before you send it off. </p>
",hbd-dad-01,1,Family Birthday Gift Card,Birthday,0,https://thyaga0323.sirv.com/Images/voucher-products/birthday/hbd-dad-01-front.png,"Birthdays made better with gifts they actually want, finally.",Birthday,"dad, father","warm, upbeat","birthday, dad, father, family birthday, celebrate dad, bday"
